name,Fred
time_unit,days
gamma_self_0,-10+0j
day,v,r,f,a,S,notes,marker,locked
0,5.0,0.0,2.0,2.0,0.0,Initial condition: eager but moderate love,,
7,5.0,2.0,2.0,3.0,1.0,First date: strong attraction developing,,
14,5.0,-2.0,2.0,3.0,-1.0,Early wobble: pressing pace - M2 pulls back,,
18,0.0,0.0,0.0,0.0,0.0,Inserted at t=18.0,,
21,5.0,2.0,5.0,5.0,3.0,Repair begins: slows down and listens,,
28,5.0,5.0,5.0,5.0,5.0,Shared rhythm: casual comfort - ego softens,,
35,5.0,7.0,7.0,7.469,7.0,Repair complete: trust growing - balanced,circle,True
42,6.0,4.382,3.097,8.0,8.0,Stable connection: ego moderated - love rising,circle,True
49,3.717,8.854,9.0,9.0,9.0,Steady connection: playful and secure,circle,True
56,8.0,9.0,9.0,9.0,10.0,Higher plateau: feels secure,,
60,8.0,9.0,9.0,9.0,10.0,Outcome: stable relationship - strong love,,
